start,codename,description
A,ABDA,ABDA World War II acronym for the 1942 cooperative American-British-Dutch-Australian defense of the Pacific and Indian Ocean theater
A,ABERDEEN,ABERDEEN World War II code name for Chindit stronghold near Manhton, Burma
A,ABILENE,ABILENE Gulf War VII Corps phase line
A,ABLE,ABLE SENTRY United States European Command operations in Macedonia (Former Republic of Yugoslavia)
A,ACCOLADE,ACCOLADE World War II seizure of the Dodecanese
A,ACHSE,ACHSE World War II German plan to take control of Italy
A,ALAMO,ALAMO World War II code name for the task force (built around Headquarters, Sixth Army) operating directly under General Headquarters, Southwest Pacific Area for operations in New Guinea
A,ALARICH,ALARICH World War II German plan for the occupation of northern Italy by Army Group B (Rommel) if Italy collapsed politically
A,ALPHA,ALPHA World War II plan to defend Kunming and Chungking
A,ALSOS,ALSOS World War II code name for the Allied special intelligence forces' mission to collect information about German nuclear fission developments
A,ANAKIM,ANAKIM World War II plan to recapture Burma
A,ANTON,ANTON World War II (10-11 November 1942) German occupation of southern France (areas previously unoccupied and under the jurisdiction of the Vichy government)
A,ANVIL,ANVIL World War II plan for the invasion of southern France--see later DRAGOON
A,ANVIL,ANVIL Gulf War code name for a VII Corps objective
A,APPLE,APPLE Gulf War VII Corps phase line
A,APRICOT,APRICOT Gulf War phase line for 1st Armored Division movement from Tactical Assembly Area THOMPSON to Forward Assembly Area GARCIA
A,ARCADIA,ARCADIA World War II code name for the Washington Conference December 1941-January 1942
A,ARGONAUT,ARGONAUT World War II code name for the Malta and Yalta Conference January-February 1945
A,ARGUMENT,ARGUMENT World War II plan for USSTAF air operations against German aircraft factories, February 1944.
A,ATTLEBORO,ATTLEBORO Vietnam large-scale offensive operation in III Corps Tactical Zone in the fall of 1966
A,AUDACIOUS,AUDACIOUS Korean War (12 April 1951) Eighth Army plan for an orderly withdrawal
A,AUSLADUNG,AUSLADUNG World War II German secondary attack designed to extend the Tunis bridgehead in the north as part of Operation OCHSENKOPF
A,AVALANCHE,AVALANCHE World War II (9 September 1943) invasion of Italy at Salerno
A,AXE,AXE Gulf War code name for an XVIII Airborne Corps phase line
A,AXIOM,AXIOM World War II code name for the mission sent to London in February 1944 to urge CULVERIN
B,BACKHANDER,BACKHANDER World War II code name for the task force to conduct operations on Cape Gloucester on the island of New Britain
B,BANANA,BANANA Gulf War phase line for 1st Armored Division movement from Tactical Assembly Area THOMPSON to Forward Assembly Area GARCIA
B,BARBAROSSA,BARBAROSSA World War II (1941) German offensive against the USSR
B,BARCLAY,BARCLAY World War II plan to induce the Axis to give priority to maintaining and reinforcing its forces in southern France and the Balkans
B,BARRACUDA,BARRACUDA World War II plan (cancelled) for an airborne and amphibious assault on Naples
B,BAYTOWN,BAYTOWN World War II (3 September 1943) British invasion of Italy at Reggio di Calabria mounted from Sicily
B,BERLIN,BERLIN Gulf War VII Corps phase line
B,BETA,BETA World War II plan to open a port on the coast of China
B,BIG STICK,BIG STICK Korean War plan to destroy the Communist supply complex based on Sibyon-ni, to advance the Eighth Army left flank to the Yesong River, and to regain Kaesong
B,BIG SWITCH,BIG SWITCH Korean War
B,BLACK,BLACK Pre-World War II plan to occupy Dakar
B,BLACKCOCK,BLACKCOCK World War II British 12 Corps operation to clear the German salient between the Meuse and Roer-Wurm Rivers from Roermond southward
B,BLACKJACK,BLACKJACK Series of special operations in Vietnam
B,BLACKJACK,BLACKJACK 33 Vietnam special operation 27 April-24 May 1967 in III Corps Tactical Zone in conjunction with Project SIGMA (Detachment B-56)
B,BLACKJACK,BLACKJACK 41 Vietnam special operation in the Seven Mountains region in the spring of 1967
B,BLACKPOOL,BLACKPOOL World War II code name for Chindit roadblock on the railroad near Namkwin, Burma
B,BLADE JEWEL,BLADE JEWEL United States Southern Command 1989 evacuation of dependents from Panama
B,BLOCKBUSTER,BLOCKBUSTER World War II plan for Canadian II Corps offensive in the Calcar-Udem-Xanten area
B,BLUE SPOON,BLUE SPOON United States Southern Command complex of operational plans 1988-1989 covering various contingencies in Panama
B,BLUEHEARTS,BLUEHEARTS Korean War draft plan for amphibious landing; abandoned 10 July 1950 and replaced by CHROMITE
B,BOLERO,BOLERO World War II (1942) plan for offensive operations against Germany on the European mainland and for the build-up of US forces and supplies in the United Kingdom for the cross-Channel attack
B,BONN,BONN Gulf War VII Corps objective (1st Armored Division)
B,BOSTON,BOSTON World War II Southwest Pacific Area of Operations plan to occupy and construct an airfield in the Abau-Mullins Harbor region of New Guinea
B,BRAGG,BRAGG Gulf War code name for an XVIII Airborne Corps area of operations
B,BRASS,BRASS Gulf War name for 1st (United Kingdom) Armoured Division objective
B,BRASSARD,BRASSARD World War II plan for operations against the island of Elba
B,BREASTPLATE,BREASTPLATE World War II plan (cancelled) for a seaborne attack from Malta against Sousse
B,BREWER,BREWER World War II plan for operations in the Admiralty Islands
